epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1095.98,1.06835,0.52477,0.80425,0.91675,0.66097,0.74368,0.46855,1.06706,0.50372,0.80274,0.000742625,0.000742625,0.000742625
43,1121.1,1.08031,0.53502,0.80374,0.91092,0.68492,0.75898,0.50067,0.92199,0.46366,0.79299,0.00073025,0.00073025,0.00073025
44,1146.99,1.06281,0.51777,0.80338,0.92402,0.68649,0.75822,0.49195,0.92902,0.46614,0.79196,0.000717875,0.000717875,0.000717875
45,1172.54,1.07801,0.52701,0.80271,0.91535,0.68489,0.75324,0.48155,0.97221,0.46878,0.79322,0.0007055,0.0007055,0.0007055
46,1197.64,1.07821,0.51966,0.80307,0.92931,0.68828,0.75702,0.50527,0.92105,0.45814,0.79254,0.000693125,0.000693125,0.000693125
47,1223.52,1.04469,0.51001,0.80232,0.92771,0.68585,0.7578,0.50265,0.89983,0.45511,0.7908,0.00068075,0.00068075,0.00068075
48,1248.84,1.05876,0.51011,0.80132,0.92729,0.69545,0.76525,0.49711,0.94502,0.4598,0.79144,0.000668375,0.000668375,0.000668375
49,1274.68,1.0435,0.50254,0.799,0.89219,0.69362,0.75347,0.5036,0.89695,0.44945,0.78985,0.000656,0.000656,0.000656
50,1300.84,1.02447,0.49526,0.80116,0.89014,0.70405,0.75735,0.50969,0.89675,0.44401,0.78981,0.000643625,0.000643625,0.000643625
51,1326.3,1.0403,0.4994,0.80064,0.90897,0.69719,0.76468,0.51201,0.88772,0.44165,0.79023,0.00063125,0.00063125,0.00063125
52,1352.64,1.06936,0.51172,0.80259,0.92657,0.7053,0.77342,0.50575,0.91877,0.452,0.79129,0.000618875,0.000618875,0.000618875
53,1378.94,1.08147,0.51535,0.8022,0.92102,0.70781,0.76923,0.51677,0.9045,0.44291,0.78967,0.0006065,0.0006065,0.0006065
54,1405.73,1.07489,0.50888,0.80101,0.92985,0.69764,0.77716,0.50968,0.91527,0.44073,0.79048,0.000594125,0.000594125,0.000594125
55,1432.08,1.0252,0.49039,0.79722,0.90365,0.69853,0.76771,0.51287,0.89146,0.44967,0.7894,0.00058175,0.00058175,0.00058175
